,,SWE (uV2),
Mouse #,Genotype,Baseline,Rebound
1,Vgat+/+,14752.86,17729.34
2,Vgat+/+,11373.85,12834.66
3,Vgat+/+,7739.972,9721.171
4,Vgat+/+,9238.677,8500.295
5,Vgat+/+,15718.64,15230.02
6,Vgat+/+,3463.357,2908.038
7,Vgat+/+,4828.266,6742.966
1,Nms-Vgat+/-,7220.232,6306.051
2,Nms-Vgat+/-,10093.31,10938.93
3,Nms-Vgat+/-,14397.99,19615.14
4,Nms-Vgat+/-,14213.35,18110.63
5,Nms-Vgat+/-,8792.777,9021.124
6,Nms-Vgat+/-,21700.25,26699.52
1,Nms-vgat-/-,21020.87,21542.86
2,Nms-vgat-/-,12761.16,13097.34
3,Nms-vgat-/-,8883.778,9403.925
4,Nms-vgat-/-,11705.63,16849.59
5,Nms-vgat-/-,13043.29,16777.69
6,Nms-vgat-/-,9945.526,12980.71
7,Nms-vgat-/-,13305.59,19647.46
8,Nms-vgat-/-,11531.22,15252.36
