Mouse #,Genotype,Peak Time (h),Period (h),Damping (days),Fit (%),
1,Nms-Vgat+/-,14.43,22.57,2.87,93.2,
2,Nms-Vgat+/-,12.01,23.6,2.76,93.6,
3,Nms-Vgat+/-,12.09,23.64,2.88,96.1,
4,Nms-Vgat+/-,11.5,23.55,1.67,83.8,
5,Nms-Vgat+/-,12.66,23.13,2.19,89.9,
6,Nms-Vgat+/-,10.78,22.84,2.93,93.2,
7,Nms-Vgat+/-,13.78,22.53,2.14,91.1,
8,Nms-Vgat+/-,10.78,22.44,3.36,93.6,
9,Nms-Vgat+/-,9.6,23.87,2,90.3,
1,Nms-Vgat-/-,11.14,23.46,0.88,91.4,
2,Nms-Vgat-/-,9.87,22.87,1.3,79,
3,Nms-Vgat-/-,9.66,23.23,2.04,85.9,
4,Nms-Vgat-/-,11.62,23.15,2.58,84.2,
5,Nms-Vgat-/-,8.8,22.79,1.51,79,
6,Nms-Vgat-/-,10.85,23.6,2.38,86.2,
7,Nms-Vgat-/-,11.37,23.89,2.06,91.9,
8,Nms-Vgat-/-,9.86,23.33,2.06,94.5,
9,Nms-Vgat-/-,11.14,23.45,2.38,90,
10,Nms-Vgat-/-,8.2,23.51,1.53,84.7,
11,Nms-Vgat-/-,10.04,23.64,2.73,88,
