Mouse #,Genotype,Frequency (Hz),,,,,,,,
1,Vgat +/+,0.709875,,,,,,,,
2,Vgat +/+,1.277,,,,,,,,
3,Vgat +/+,0.335,,,,,,,,
4,Vgat +/+,1.0925,,,,,,,,
5,Vgat +/+,0.9178,,,,,,,,
6,Vgat +/+,1.36675,,,,,,,,
1,Nms-Vgat +/-,0.358,,,,,,,,
2,Nms-Vgat +/-,0.281833,,,,,,,,
3,Nms-Vgat +/-,0.241,,,,,,,,
4,Nms-Vgat +/-,0.3728,,,,,,,,
5,Nms-Vgat +/-,0.541,,,,,,,,
6,Nms-Vgat +/-,0.5255,,,,,,,,
1,Nms-Vgat -/-,0.13375,,,,,,,,
2,Nms-Vgat -/-,0.495333,,,,,,,,
3,Nms-Vgat -/-,0.756,,,,,,,,
4,Nms-Vgat -/-,0.388,,,,,,,,
5,Nms-Vgat -/-,0.42575,,,,,,,,
6,Nms-Vgat -/-,0.1872,,,,,,,,
