Mouse #,Genotype,Z-Score,,,,,,,
1,Nms-Vgat +/+,1.394182,,,,,,,
2,Nms-Vgat +/+,1.297714,,,,,,,
3,Nms-Vgat +/+,1.216072,,,,,,,
1,Nms-Vgat +/-,0.927174,,,,,,,
2,Nms-Vgat +/-,1.086109,,,,,,,
3,Nms-Vgat +/-,0.941461,,,,,,,
4,Nms-Vgat +/-,1.224681,,,,,,,
5,Nms-Vgat +/-,0.774543,,,,,,,
1,Nms-Vgat -/-,0.970588,,,,,,,
2,Nms-Vgat -/-,0.949067,,,,,,,
3,Nms-Vgat -/-,0.672881,,,,,,,
4,Nms-Vgat -/-,0.760825,,,,,,,
5,Nms-Vgat -/-,1.046319,,,,,,,
6,Nms-Vgat -/-,1.099775,,,,,,,
7,Nms-Vgat -/-,0.607746,,,,,,,
8,Nms-Vgat -/-,0.839107,,,,,,,
9,Nms-Vgat -/-,1.1917,,,,,,,
